Status,Source Page,Source Row,Association,Challenge Name,OCR Name,OCR Association,Start Date,End Date,Golfers,Ranked Golfers,Scores Posted,Metric Source
Active,1,1,Idaho Golf Association,American Falls Golf Course Challenge,American Falls Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,17,10,57,full-page OCR | full-page OCR | full-page OCR
Active,1,2,Alabama Golf Association,One Club Challenge,Awesome Trail Test Club Challenge,Carolinas Golf Association,2026-08-01,2026-08-31,0,0,0,corrected detail | corrected detail | corrected detail
Active,1,3,Greater Cincinnati Golf Association,East/West Challenge,Best of West Challenge,Oklahoma Golf Association,2026-08-01,2026-09-30,25,4,38,full-page OCR | full-page OCR | full-page OCR
Active,1,4,Montana State Golf Association,2026 GHIN Challenge @ Glacier View Golf...,2026 GHIN Challenge @ Glacier Park Lodg...,Montana State Golf Association,2026-08-01,2026-08-31,1,0,0,full-page OCR | corrected detail | corrected detail
Active,1,5,Idaho Golf Association,Rupert Country Club Challenge,Rupert Country Club Challenge,Idaho Golf Association,2026-07-01,2026-08-31,38,28,174,full-page OCR | full-page OCR | full-page OCR
Active,1,6,Idaho Golf Association,Blackfoot Golf Course Challenge,Jackpot Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,19,9,93,full-page OCR | corrected detail | full-page OCR
Active,1,7,Iowa Golf Association,‘2026 1G4 GHIN Throwdown «Brooks,2026 IGA GHIN Throwdown - Brooks,lowa Golf Association,2026-08-15,2026-09-15,0,0,0,corrected detail | corrected detail | corrected detail
Active,1,8,Carolinas Golf Association,Carolina Lakes GC Challenge,Red Bridge G8CC Challenge,Carolinas Golf Association,2026-08-01,2026-08-31,60,8,102,full-page OCR | full-page OCR | full-page OCR
Active,1,9,Texas Golf Association,Sonora Golf Club 2026 Summer Challenge,Sonora Golf Club 2026 Summer Challenge,Texas Golf Association,2026-06-03,2026-08-31,14,9,50,full-page OCR | full-page OCR | full-page OCR
Active,1,10,Idaho Golf Association,The Club at SpurWing Primary Challenge,The Club at SpurWing Primary Challenge,Idaho Golf Association,2026-07-01,2026-08-31,96,68,770,full-page OCR | full-page OCR | full-page OCR
Active,1,11,Montana State Golf Association,2026 GHIN Challenge @ Beaverhead Golf...,2026 GHIN Challenge @ Red Lodge Mount...,Montana State Golf Association,2026-08-01,2026-08-31,7,0,9,full-page OCR | corrected detail | full-page OCR
Active,1,12,Southern California Golf Association,SCGA Fall Cassin '26 - Navy,SCGA Fall Classic '26 - Navy.,Southern California Golf Associ...,2026-08-17,2026-10-31,53,0,47,full-page OCR | corrected detail | full-page OCR
Active,1,13,Idaho Golf Association,Journey's End Golf Course Challenge,Journey's End Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,1,1,3,full-page OCR | full-page OCR | full-page OCR
Active,1,14,Montana State Golf Association,2026 GHIN Challenge @ Rock Creek Cattl...,2026 GHIN Challenge @ Jawbone Creek C...,Montana State Golf Association,2026-08-01,2026-08-31,2,0,3,full-page OCR | corrected detail | full-page OCR
Active,1,15,Montana State Golf Association,2026 GHIN Challenge @ Bridger Creek Gol...,2026 GHIN Challenge @ Fox Ridge Golf Co...,Montana State Golf Association,2026-08-01,2026-08-31,25,9,60,full-page OCR | full-page OCR | full-page OCR
Active,1,16,GAP,‘GAP Challongo at Linfield National GolfClub,GAP Challenge at Linfield National Golf Club,GAP,2026-08-14,2026-09-28,21,1,20,full-page OCR | full-page OCR | full-page OCR
Active,1,17,Texas Golf Association,Cross Timbers Golf Course 2026 Summer...,Cross Timbers Golf Course 2026 Summer ...,Texas Golf Association,2026-06-01,2026-08-29,87,39,421,full-page OCR | full-page OCR | full-page OCR
Active,1,18,Southern California Golf Association,"‘SCA Fall Ctnsie ""26. Loo Verda",SCGA Fall Classic '26 - Los Verdes,Southern California Golf Associ...,2026-08-17,2026-10-31,53,4,57,full-page OCR | full-page OCR | full-page OCR
Active,1,19,Texas Golf Association,Delaware Springs Golf Course 2026 Summ... _,Delaware Springs Golf Course 2026 Summ...,Texas Golf Association,2026-06-01,2026-08-29,123,56,857,full-page OCR | full-page OCR | full-page OCR
Active,1,20,Montana State Golf Association,2026 GHIN Challenge @ Hilands Golf Club...,2026 GHIN Challenge @ Laurel Golf Club ..,Montana State Golf Association,2026-08-01,2026-08-31,107,55,375,full-page OCR | full-page OCR | full-page OCR
Active,1,21,Montana State Golf Association,2026 GHIN Challenge @ Green Meadow C...,2026 GHIN Challenge @ Meadow Creek G...,Montana State Golf Association,2026-08-01,2026-08-31,1,1,3,full-page OCR | full-page OCR | full-page OCR
Active,1,22,Idaho Golf Association,BanBury Golf Course Challenge,BanBury_Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,76,38,301,full-page OCR | full-page OCR | full-page OCR
Active,1,23,Idaho Golf Association,Jerome Country Club Challenge,SOUTH SHORE COUNTRY CLUB Challenge,Mass Golf,2026-07-15,2026-08-31,175,57,500,full-page OCR | full-page OCR | full-page OCR
Active,1,24,Idaho Golf Association,Warm Springs Golf Course Challenge,Warm Springs Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,84,41,358,full-page OCR | full-page OCR | full-page OCR
Active,1,25,Idaho Golf Association,Caribou Highlands Golf Course Challenge,Caribou Highlands Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,0,0,0,corrected detail | corrected detail | corrected detail
Active,2,1,Greater Cincinnati Golf Association,Reeves Golf Course Challenge,CommonGround Golf Course Challenge,Colorado Golf Association,2026-07-20,2026-08-31,239,55,477,full-page OCR | full-page OCR | full-page OCR
Active,2,2,Greater Cincinnati Golf Association,Pioneer Challenge,2026 GHIN Challenge @ Indian Springs Ra...,Montana State Golf Association,2026-08-01,2026-08-31,29,16,149,full-page OCR | full-page OCR | full-page OCR
Active,2,3,Greater Cincinnati Golf Association,Grizzly Course Challenge,Collindale Golf Course Challenge,Colorado Golf Association,2026-07-20,2026-08-31,116,31,219,full-page OCR | full-page OCR | full-page OCR
Active,2,4,Northern California Golf Association,Fall Classhe ‘26 - ‘Southern,SCGA Fall Classic '26 - Skylinks,Southern California Golf Associ…,2026-08-17,2026-10-31,82,1,69,full-page OCR | full-page OCR | full-page OCR
Active,2,5,Golf Association of Michigan,MINES GOLF COURSE Challenge,Scotch Pines Golf Course Challenge,Idaho Golf Association,2026-07-01,2026-08-31,52,29,260,full-page OCR | full-page OCR | full-page OCR
Active,2,6,Metropolitan Golf Association,Challenge st Olde Homestead Golfclub GAP,GAP Challenge at Olde Homestead Golf Club,GAP,2026-08-14,2026-09-28,41,6,58,full-page OCR | full-page OCR | full-page OCR
Active,2,7,Alabama Golf Association,Heron Lakes Country Club Challenge,Clear Lake Country Club Challenge,Idaho Golf Association,2026-07-01,2026-08-31,63,45,483,full-page OCR | full-page OCR | full-page OCR
Active,2,8,Iowa Golf Association,Lodge 590 Summer GHIN Challenge,Lodge 590 Summer GHIN Challenge,lowa Golf Association,2026-05-25,2026-09-07,41,34,345,full-page OCR | full-page OCR | full-page OCR
Active,2,9,Georgia State Golf Association,GSGA GHIN Challenge,2026 GHIN Challenge @ Marias Valley Gol...,Montana State Golf Association,2026-08-01,2026-08-31,27,13,78,full-page OCR | full-page OCR | full-page OCR
Active,2,10,Idaho Golf Association,Council Greens Challenge,Council Greens Challenge,Idaho Golf Association,2026-07-01,2026-08-31,0,0,0,corrected detail | corrected detail | corrected detail
Active,2,11,Metropolitan Golf Association,GHIN Challenge @ Rolling Hite Golf... MontanaStateGelf,2026 GHIN Challenge @ Rolling Hills Golf..,Montana State Golf Association,2026-08-01,2026-08-31,0,0,0,corrected detail | corrected detail | corrected detail
Active,2,12,Northern California Golf Association,"Fall Classic ""26 - Sieni Hills Southern",SCGA Fall Classic '26 - Simi Hills,Southern California Golf Associ…,2026-08-17,2026-10-31,43,0,43,full-page OCR | corrected detail | full-page OCR
Active,2,13,Virginia State Golf Association,Virginia Beach National Golf Club Challenge,Birkdale Golf Club Challenge,Virginia State Golf Association,2026-08-01,2026-08-31,49,23,164,full-page OCR | full-page OCR | full-page OCR
